"";"fala";"autor";"comentario";"data"
"1148";"Entramos nesse processo comovidas e saímos indignadas diante de tanto negacionismo, falta de humanidade e compaixão. Nossa atuação não vai parar aqui. A presença feminina continuará a fazer história e a demonstrar o quanto é importante ter mais mulheres na política para que possamos, juntos, ao lado dos senhores, fazer a verdadeira revolução.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para discutir.";"26/10/2021"
"1149";"Eu deixo, para finalizar, uma pergunta – para essa pergunta eu não tenho resposta ainda. Diante de tudo isso, há um Brasil que se empobreceu em todos os sentidos, não só econômico, mas nos seus valores. A pergunta que eu deixo é: que Brasil queremos e para quem queremos esse Brasil? Essa é a pergunta que se tem que fazer diante de um Governo que não só matou no aspecto físico, Senador Tasso, mas matou aquilo que é mais sagrado do povo brasileiro, que é a nossa diversidade; que polarizou tanto este País, este Brasil, polarizou tanto que fez com que nós involuíssemos no nosso processo civilizatório: nós não temos mais a capacidade de sentar para discutir política com quem pensa diferente porque o ódio presente nas redes sociais se faz presente agora também. Então, esta é a pergunta que eu deixo: o que faremos?";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para discutir.";"26/10/2021"
"1150";"Esta CPI – vale lembrar o relatório – abriu caminhos ao caminhar. Os caminhos foram os caminhos da verdade. Agora nós teremos outra tarefa, Sr. Presidente, quem sabe numa ampla frente democrática: reconstruir o País naquilo que lhe é mais sagrado, na irmandade, na humanidade, na nossa capacidade de empatia, do diálogo e de avançarmos naquilo que mais precisamos avançar, na luta por aqueles que mais precisam.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para discutir.";"26/10/2021"
"1151";"Obrigada. E eu vi que V. Exa. foi generoso. Eu não ouvi – eu acho que não tocou – a campainha, e eu falei muito mais do que os 15 minutos, mas é que o nosso sentimento de gratidão aos Srs. Senadores... Os Srs. Senadores se engrandeceram muito perante a opinião pública e mostraram que há homens de bem, que protegem e que defendem a igualdade de direitos e de deveres entre homens e mulheres.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para discutir.";"26/10/2021"
"1152";"Muito obrigada, Sr. Presidente.";"Simone Tebet";"Bloco Parlamentar Unidos pelo Brasil/MDB - MS. Para discutir.";"26/10/2021"
"1153";"– Obrigado, Senadora Simone, pelas palavras. Parabéns pela grande contribuição que V. Exa. deu ao Brasil.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"1154";"Agora vou ouvir – estou conseguindo contato – a Senadora Leila Barros.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"1155";"Com a palavra a Senadora Leila Barros.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"1156";"– Obrigada, Sr. Presidente. Eu cumprimento o senhor, todas as Senadoras que estão presentes na Comissão, os Senadores também e todos que nos acompanham e nos acompanharam na CPI da Pandemia no Senado.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1157";"Caminhamos para o encerramento dos trabalhos desta Comissão Parlamentar de Inquérito, depois de praticamente seis meses de funcionamento, com dezenas de reuniões realizadas, inúmeras oitivas, audiências públicas e muitos debates.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1158";"Chegamos ao momento em que será votado o relatório final, com um misto de sentimentos. Sentimento de dever cumprido, pois, a meu juízo final, ao final a CPI colaborou decisivamente para o enfrentamento da pandemia no País ao, por exemplo, pressionar o Governo a finalmente comprar as vacinas. Sentimento de profunda tristeza pela certeza das dezenas de milhares de vidas brasileiras que poderiam ter sido poupadas caso o Governo Federal tivesse se comportado tão somente como Governo, ouvindo a ciência e tomando conta do seu povo. Sentimento de indignação com aqueles, muitos deles autoridades, supostamente irresponsáveis, que praticaram barbaridades ao longo da pandemia, seja negligenciando ou menosprezando a doença, seja buscando vantagens financeiras indevidas com a crise, seja promovendo charlatanismo, seja com práticas nefastas de usar doentes como cobaias de tratamentos ineficazes e inadequados. O sentimento de justiça na expectativa de que todos esses culpados sejam devidamente responsabilizados e exemplarmente punidos. E, por fim, um sentimento de esperança de que todos os erros e acertos, toda a experiência vivida nesse que foi um dos momentos mais difíceis da humanidade, pelo menos dos nossos tempos, possa servir para transformar o nosso País e o mundo num lugar melhor, mais justo, mais solidário, mais racional e mais preparado para as grandes dificuldades.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1159";"Eu não poderia deixar, Sr. Presidente, de saudar a condução dos trabalhos desta CPI, destacando a participação do Relator, Senador Renan Calheiros; do Vice-Presidente da Comissão, Senador Randolfe Rodrigues; e especialmente do senhor, Senador Omar Aziz, pelo prestígio e reconhecimento dado a nossa Bancada Feminina no Senado Federal, quando permitiu, com a anuência dos demais membros, nossa participação efetiva nos interrogatórios. Também me congratulo com os demais Senadores, membros titulares e suplentes, pelo trabalho desenvolvido. Apesar das posições por muitas vezes antagônicas de alguns, dos debates mais acalorados e até dos momentos de maior tensão, houve, afinal, espaço e respeito às divergências e, a meu ver, vontade de fazer o melhor em defesa da nossa população. Mas, sobretudo, cumprimento minhas companheiras de bancada, muitas aí presentes, no caso da Eliziane Gama, da Simone Tebet, da Soraya Thronicke, e Zenaide Maia, Kátia Abreu, Mara Gabrilli, que tanto contribuíram para o bom andamento dos trabalhos desta Comissão. Como mulher, eu me orgulho da participação destacada das nossas Senadoras.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1160";"Sras. e Srs. Senadores, eu fui uma daquelas que assinou e cobrou desde o início a instalação da CPI, justamente por entender que naquele momento, ainda no primeiro trimestre do ano, muito além de buscar culpados, o maior desafio da CPI era conseguir fazer com que o Governo assumisse seu papel de liderar o País diante da crise sanitária que vivíamos. Enfim, teríamos com a CPI um instrumento para forçar as autoridades responsáveis a agir como tal. E foi exatamente o que aconteceu: a partir da CPI, o Governo se movimentou para comprar as vacinas. Aliás, a partir da CPI, o tema vacina, que até então era apenas motivo de piada nas salas presidenciais, tornou-se uma pauta prioritária do Ministério da Saúde. E olha que antes disso a agenda da pasta, surpreendentemente, já em abril de 2021, passado mais de um ano da pandemia, ainda era o tal do tratamento precoce.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1161";"Aliás, esta CPI teve papel importante no esclarecimento da população em geral sobre a absoluta ineficácia do tal tratamento precoce e sobre a importância das medidas não farmacológicas. Embora algumas vozes, cada vez menores, ainda tentem dar ressonância a essa desinformação, restou claro, a partir das evidências demonstradas nesta CPI e, sobretudo, a partir dos resultados obtidos desde a vacinação em massa, que o tal tratamento não passava de mais uma fake news, cujos objetivos variam desde a verdadeira boa intenção de alguns até a perversidade de outros, que defendiam a tal imunidade de rebanho por contaminação ou testavam suas crendices em humanos sem que as cobaias soubessem.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1162";"A CPI também ajudou a jogar luz sobre algo que era dito como impensável pelo atual Governo: a corrupção dentro do Poder Executivo, dentro do Ministério da Saúde. Foram expostas negociações fraudulentas, contratos ilegais e muita gente de dentro do Governo tentando ganhar dinheiro com a pandemia, tentando lucrar em cima da urgência e das mortes. O mesmo aconteceu em vários Estados do País e aqui no Distrito Federal, que teve nesta CPI ouvido o ex-Secretário de Saúde do DF justamente pelo seu envolvimento em escândalos envolvendo licitações relacionadas ao enfrentamento da pandemia, problemas que também aparecem no âmbito federal. O Governo negou e negligenciou as vacinas por um ano, especialmente aquelas produzidas e comercializadas por grandes laboratórios, e correu atrás da vacina que tivesse algum tipo de intermediador, algum tipo de comissão a ser paga, alguma tentativa de burlar licitações ou contratos, e, assim, tomamos conhecimento de figuras controversas e oportunistas que adentraram as mais importantes salas do Ministério da Saúde.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1163";"A CPI, nos seus últimos momentos, proporcionou ao País um momento de grande emoção e reflexão para o futuro, quando ouviu parentes e amigos de vítimas da covid-19, uma demonstração de grande humanidade que tocou a todos e nos colocou na condição de iguais àqueles que sofreram perdas irreparáveis, de esposas, esposos, pais, mães, avós, avôs, primos e amigos, mais de 600 mil vidas brasileiras, a quem rendo toda a minha homenagem e meu sentimento; humanidade que, lamentavelmente, faltou ao maior responsável por conduzir a Nação neste momento de crise.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1164";"Não importa a qual ideologia sirva um Presidente da República, se ele é de esquerda, de direita, de centro, afinal essa escolha é soberana, é a escolha da população através do voto, e é assim a democracia. Porém, a meu juízo, quem pede voto ao povo, quem pede a confiança para governá-lo tem a obrigação de cuidar desse povo, de todo o povo, dos que nele votaram, dos que nele não votaram, dos que o apoiam, dos que fazem oposição, especialmente e sobretudo nos momentos em que o povo mais precisa de cuidados, de resposta, de união e de humanidade, o que foi o caso desta pandemia da covid-19. Como nunca, o povo precisou ser cuidado. E, tristemente para o Brasil e para centenas de milhares de vítimas da doença, esta CPI demonstrou, de forma clara e transparente, que o nosso povo não foi cuidado por quem se responsabilizou por fazê-lo, e justamente no momento em que mais precisou.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1165";"Que sirva, Sr. Presidente, a todos que estão aí na Comissão, que sirva de lição para todos nós no futuro.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1166";"Encerro na expectativa de ver o relatório final aprovado e tendo, se Deus quiser, consequências. Que as autoridades responsáveis, especialmente o Ministério Público, façam o seu papel e levem adiante os procedimentos necessários para a identificação de culpados e sua punição.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1167";"E, particularmente, em relação ao Distrito Federal, eu gostaria de me associar à sugestão de complemento de voto apresentado pelo Senador Izalci Lucas, que traz, de forma detalhada, informações e indícios de parte das irregularidades praticadas no DF, que merecem a mais profunda investigação. Portanto, vou apelar ao Relator que possa considerá-lo, mas, sobretudo, encarecer que seja enviado ao Ministério Público do DF e Territórios para que sejam tomadas as providências necessárias.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1168";"Com todo o respeito devido aos familiares e amigos das vítimas da covid-19 no Brasil e no mundo, apesar de toda a tristeza e compaixão que envolveu – e ainda envolve – a pandemia por tantas tragédias ocorridas, eu parabenizo a todos – a todos –, de coração, que trabalharam direta ou indiretamente na CPI: Parlamentares, assessores, jornalistas, cinegrafistas, todos que puderam contribuir para o esclarecimento dos fatos e para a melhoria das condições de atendimento da nossa população durante a pandemia e, se Deus quiser, no futuro.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1169";"Era o que eu tinha a dizer, Sr. Presidente, e agradecer, mais uma vez, em nome da Bancada Feminina do Senado, por todo o carinho não só do senhor, por toda a confiança do senhor e dos Senadores e, acima de tudo, da população brasileira. Era o que eu tinha a dizer.";"Leila Barros";"PDT/CIDADANIA/REDE/CIDADANIA - DF. Para discutir. Por videoconferência.";"26/10/2021"
"1170";"– Obrigado, Senadora Leila. Obrigado pela colaboração, contribuição, pela presença permanente aqui. Sua atuação nos ajudou muito.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"1171";"Eu vou passar a Presidência ao Vice-Presidente, Senador Randolfe, para que ele possa, aqui da Presidência, que compartilhou comigo nesses seis meses, contribuindo e me ajudando bastante a dirigir esses trabalhos, sendo uma pessoa muito presente, nos últimos seis meses, no meu convívio pessoal, me aconselhando, me orientando e tendo o equilíbrio necessário para que a gente pudesse... É mais do que justo, no seu último pronunciamento, que ele presida a sessão e faça o pronunciamento daqui da Presidência.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"1172";"Com muita honra, Senador Randolfe, peço a V. Exa. para sentar aqui e fazer seu pronunciamento.";"Presidente";"Omar Aziz. PSD - AM";"26/10/2021"
"1173";"– Muito bem, Omar.";"Renan Calheiros";"Bloco Parlamentar Unidos pelo Brasil/MDB - AL";"26/10/2021"
"1174";"– Presidente Omar, Relator Renan, colegas de caminhada, colegas de jornada, chegamos. Esse relatório foi esperado como resposta a um clamor de milhões de brasileiros desde que a pandemia nos assolou. Como historiador, não cabem a mim – eu não posso oferecer – aconselhamentos médicos, não cabe a historiadores também a previsão sobre o futuro, mas a história pode oferecer perspectivas.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1175";"Epidemias desempenharam papel central na história humana desde a revolução agrícola e, frequentemente, após as pandemias, deflagraram crises econômicas e crises políticas.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1176";"Foi assim no século XIII na Europa, após a pandemia da peste, que matou mais de um terço da população europeia. Na sequência a isso, a ampla, a alta mortalidade causou escassez de mão de obra para os proprietários de terra, precondição necessária para a sucessão do sistema feudal e para o desenvolvimento, sobretudo na Europa Ocidental, de uma nova economia moderna, baseada na comercialização e no dinheiro.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1177";"A última pandemia que a humanidade viveu, a da influenza, em 1918, se seguiu em boa parte da Europa a uma Belle Époque. Lamentavelmente, as experiências do pós-pandemia, na década seguinte, resultaram no surgimento de movimentos fundamentalistas e extremistas. Os ""ismos"" ao longo do tempo sempre trouxeram tragédia e morte para a humanidade: foi assim a ascensão do fascismo e do nazismo na Europa; foi assim o stalinismo no Leste Europeu.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1178";"Os vírus não moldam a história; nós, humanos, sim, a moldamos, a construímos. Somos muito mais poderosos que o vírus, e cabe a nós decidir, e cabe a nós dar decisões que tomamos hoje, a resposta ao desafio da nossa geração. O mundo pós-covid, o Brasil pós-covid depende de tudo que nós no hoje estamos fazendo. O vírus traz a tragédia, mas o maior risco para a humanidade, o maior risco que enfrentamos não é somente o do vírus; o maior risco que enfrentamos é o dos demônios interiores da humanidade.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1179";"O pós-pandemia não pode ser o resultado do que nós lamentavelmente vimos neste Brasil do ano passado para cá. O pós-pandemia não pode ser alimentado pelo ódio que divide brasileiros, que divide compatriotas, que bota a culpa em outros, quando deveríamos estar unidos. O pós-pandemia não pode ser alimentado pela ganância de oligopólios econômicos que buscaram lucrar com a pandemia – alguns, de forma corrupta, como esta CPI apontou. O pós-pandemia não pode ser disseminador da ignorância que estabeleceu e criou teorias da conspiração ridículas que, se fossem somente ridículas por si sós, deveriam ser responsabilizadas, mas que também custaram a vida de milhares de brasileiros. Se reagirmos no pós-pandemia com esses ensinamentos do que nós vivemos neste um ano e pouco, quase dois anos de pandemia, o ódio, a ganância, a ignorância, nós não teremos aprendido nada. Ao contrário disso, nós podemos gerar do pós-pandemia a compaixão, a generosidade, a sabedoria; podemos optar por acreditar na ciência. E esta Comissão Parlamentar de Inquérito, Senador Tasso Jereissati, colocou a ciência de volta no seu altar devido, no altar iluminista em que ela foi colocada, pelo menos, a dois séculos da evolução humana. O pós-pandemia pode ser pautado pela generosidade. Podemos optar, no pós-pandemia, por cooperar uns com os outros em vez de competir uns com os outros. O pós-pandemia pode ser pautado pela sabedoria. Podemos optar, no pós-pandemia, por compartilhar o que temos em vez apenas de acumular. O pós-pandemia pode e deve ser pautado – e esta Comissão Parlamentar de Inquérito provou que assim pode ser – pela compaixão, pela generosidade e pela sabedoria. Se assim for, se essa trilogia servir de resultado para nós, nós teremos aprendido e, com isso, podemos fazer um país, podemos fazer um Brasil muito melhor para os milhões que virão depois de nós.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1180";"Foi dito e foi questionado, inclusive no debate de hoje, o que motivou esta Comissão Parlamentar de Inquérito. Não, não foi a eleição, não foi a disputa eleitoral que motivou esta Comissão Parlamentar de Inquérito!";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1181";"Colegas, Senador Eduardo Braga, que é testemunha disso, Senador Alessandro, Senador Otto, Senador Humberto, Senador Tasso, Senadora Eliziane, Senadora Soraya, o que motivou esta Comissão Parlamentar de Inquérito foi o que ocorreu em janeiro deste ano, quando nós vimos irmãos morrendo. O que clamou pela instalação desta Comissão Parlamentar de Inquérito, Senador Omar e Senador Eduardo, foram as trágicas cenas de Manaus, da capital do seu Amazonas. O que clamou por esta Comissão Parlamentar de Inquérito foi a perda de compatriotas nossos de todas as classes sociais. O que clamou pela instalação desta Comissão Parlamentar de Inquérito foram as filas de desespero por cilindros de oxigênio. O que clamou pela instalação desta Comissão Parlamentar de Inquérito foi o choro dos órfãos que perderam os pais. O que clamou pela instalação desta Comissão Parlamentar de Inquérito foi o choro desesperado dos pais que também perderam os filhos.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1182";"Quantas mesas brasileiras, quantas mesas de jantar na casa das famílias brasileiras estão incompletas no dia de hoje por conta do descaso? Já foi dito aqui, inclusive pelo Senador Alessandro, que pelo menos 200 mil irmãos nossos poderiam estar entre nós. Quantos pais, mães, filhos, tios, sobrinhos, amigos e parentes não podiam estar neste momento nas mesas de jantar, nas salas de TV, assistindo à conclusão destes trabalhos? Não foram, e isso não foi por acaso, isso teve responsabilidade.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1183";"O que motivou esta Comissão Parlamentar de Inquérito foram as declarações de desrespeito aos mortos por parte daquele que, como o maior mandatário desta Nação, deveria ter o dever constitucional de zelar, deveria ter o dever constitucional e a condição humana de ter empatia com os outros.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1184";"O que motivou esta Comissão Parlamentar de Inquérito?";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1185";"Izabelle e Ana Cristina, é o último vídeo desta Comissão Parlamentar de Inquérito.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1186";"O que motivou esta Comissão Parlamentar de Inquérito foram essas declarações.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1187";"– O que motivou esta Comissão Parlamentar de Inquérito foi o conjunto dessas declarações. O que motivou esta Comissão Parlamentar de Inquérito foi a produção do mal em grande escala, a produção do mal em escala industrial, assim como dizia Hannah Arendt ao ver no julgamento de Eichmann a banalização do mal por parte do nazismo, lamentável e tristemente nós vimos aqui no âmbito desta Comissão Parlamentar de Inquérito.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1188";"Algumas perguntas hão de ser feitas: quantos Presidentes da República foram sem estar em guerra ou sem estar em conflito civil acusados de crime de lesa-humanidade?";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1189";"Se isso ocorre é porque há razões, motivos e declarações como essas a que nós assistimos, que nós vimos estarrecidos – todos nós brasileiros –, que levaram a este pedido de indiciamento.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1190";"Nós vimos, lamentavelmente, o mal ser produzido em larga escala. Nós vimos – e esta CPI descobriu, Senador Otto Alencar, com depoimentos dramáticos como o do Sr. Tadeu Frederico –, nós descobrimos que aqueles que teriam a tarefa de salvar vidas, de defender vidas produziram o mal, produziram a morte, e isso tudo motivou a instalação desta Comissão Parlamentar de Inquérito.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1191";"Para todos nós, colegas Senadores, as escolhas não foram fáceis. Seria mais cômodo não ter conflitos; seria, inclusive, em um País dividido lamentavelmente como o nosso – dividido não, mas com uma minoria, com uma minoria barulhenta –, mais cômodo não reagirmos às nossas consciências. A história não nos perdoaria. O dever, um dever impõe ao homem público o dever da coragem; a coragem é a matéria-prima da civilização. Sem ela o dever e as instituições perecem; sem a coragem, as demais virtudes sucumbem na hora do perigo; sem a coragem, não haveria cruz; sem a coragem, não haveria os mandamentos do Evangelho; sem a coragem, não haveria os ensinamentos que forjaram e formaram a civilização. O dever da coragem nos mobilizou para instalar esta Comissão Parlamentar de Inquérito; o dever da coragem fez a nossa atuação nesta Comissão Parlamentar de Inquérito, nesses seis meses, mesmo a partir de todas as ameaças que os colegas Senadores sofreram, mesmo a partir de agressões que nós sofríamos, seja na rua, seja no aeroporto, por uma minoria, mas uma minoria barulhenta que lamentavelmente foi alimentada pelo ódio. O ódio não será o legado desse momento triste e dramático da história nacional. A coragem deve ser o legado desse momento da história nacional, a compaixão, o amor e a solidariedade, o retorno da empatia.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1192";"Esta Comissão Parlamentar de Inquérito promoveu a vacinação. Não me digam que foi este Presidente da República, que, há menos de uma semana, comparou vacina à infecção por HIV, que promoveu a vacinação; não foi.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1193";"Quando esta Comissão Parlamentar de Inquérito foi instalada, em 27 de abril deste ano, nós tínhamos 6% dos brasileiros vacinados. Hoje, nós temos mais de 50% vacinados com a segunda dose, 70% vacinados com uma dose e a concepção da necessidade da dose de reforço.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1194";"Esta Comissão Parlamentar de Inquérito tirou o Brasil do cercadinho e botou o negacionismo no cercadinho. Aqueles que, livremente e impunemente, propagavam fake news, mentiras, espalhavam ódio tiveram que sucumbir ao funcionamento de uma instituição.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1195";"A CPI foi chamada pelo povo brasileiro quando outras instituições pereceram, quando a Procuradoria-Geral da República, no momento, deveria cumprir o papel de investigar e não o fez. Quando outros não cumpriram as suas atribuições, nós atendemos ao chamado e o fizemos.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1196";"A CPI promoveu a vacinação; desnudou um balcão de negócios existente no Ministério da Saúde; impediu um golpe de um R$1,6 bilhão, devido, sobretudo – registro seja feito –, à dedicação de um servidor público heroico, Luis Ricardo Miranda. A CPI impediu outros golpes, como foi o caso da Davati. A CPI desnudou os esquemas de lobbies existentes no Ministério da Saúde, esquemas como o da Precisa, outros como o da VTCLog; esquemas que, ao contrário do que alguns disseram aqui, saquearam os cofres do Ministério da Saúde. Nunca é demais lembrar que só a Precisa, no mês de novembro do ano passado, amealhou R$15 milhões a partir de um negócio que teve o mesmo FIB Bank, Senador Tasso Jereissati, que foi descoberto como instituição fraudulenta por parte desta Comissão Parlamentar de Inquérito. A CPI, repito, nos mostrou o mal em pessoa, como casos da Prevent e como o caso dramático – que nunca mais se repita – da utilização de pessoas como cobaias.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1197";"A CPI foi além de suas atribuições. Foi feminista, Senadora Eliziane e Senadora Soraya, porque, mesmo quando a omissão das bancadas partidárias não lhes indicou para integrar esta Comissão Parlamentar de Inquérito, a direção desta CPI promoveu a participação feminina. E que participação! Se não fosse a participação feminina, nós não chegaríamos a avanços na investigação, como se chegou. Em uma sociedade de traços patriarcais machistas, esta Comissão teve provas e demonstrações de que é possível construir uma sociedade igualitária, sobretudo feminista.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1198";"Esta CPI enfrentou o ódio, enfrentou a homofobia, colocou o ódio no seu devido lugar, quando promoveu para este local da Presidência, pelo meu colega Senador Omar Aziz, o Senador Fabiano Contarato para dizer, em alto bom som, que a família dele não é diferente nem pior que qualquer outra família.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1199";"Promoveu a igualdade. Mostrou as desigualdades deste País, mas mostrou, sobretudo, que existe um outro Brasil latente que é possível de ser construído.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1200";"A CPI foi frente ampla quando nenhuma força política deste País teve capacidade de juntar. Olhem para nós, olhem para que estamos aqui. Somos diferentes, somos de partidos diferentes, de conotações diferentes. No passado, até diferenças tidas talvez como inconciliáveis tivemos. E nos unimos, reunimos, enfrentamos. Estivemos à altura do desafio geracional e civilizatório que a história nos impunha.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1201";"Fizemos esta Comissão Parlamentar de Inquérito sob os auspícios das almas generosas de milhões de brasileiros. Em especial, homenageio os colegas Senadores Maranhão, Arolde e, muito em especial, o colega Major Olimpio, que, antes de nos deixar, disse o quanto era imperioso, da tribuna desta Casa, a instalação desta Comissão Parlamentar de Inquérito.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1202";"A CPI mobilizou a sociedade brasileira, entrou nas casas, conversou com as pessoas. As agressões que eventualmente recebíamos... Tínhamos também acolhida, tínhamos também o carinho.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1203";"Eu tenho aqui que fazer um registro todo especial às redes sociais que se mobilizaram para colocar o negacionismo no seu canto, em especial Tesoureiros, Jairme, Camarote da CPI, Desmentindo Bolsonaro e todas as demais redes sociais que se mobilizaram, pesquisaram, buscaram informações, apoiaram.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
"1204";"Quero, em especial, fazer um agradecimento e um registro à imprensa brasileira – a história registrará o papel dos meios de comunicação no curso desta Comissão Parlamentar de Inquérito. Quando o negacionismo do Governo suspendeu os dados sobre mortes, sobre contaminados e sobre infectados, foi a imprensa que se montou e se articulou em consórcio para trazer as informações aos brasileiros. Se, no passado, na epidemia da varíola do começo do século XX, Oswaldo Cruz chegou ser criminalizado pela imprensa daquela época, neste presente, a imprensa cumpriu um papel histórico, um papel que será registrado com todo destaque necessário dos livros da história do tempo que virá. A imprensa, sobretudo a imprensa livre se demonstrou, no curso desta Comissão Parlamentar de Inquérito, uma instituição indispensável ao Estado democrático de direito –; aos serviços de comunicação do Senado; à TV Senado, que nos levou para os lares de milhares e milhares de brasileiros; ao povo organizado, que se mobilizou para que chegássemos até aqui para apoiar o relatório do Senador Renan Calheiros.";"Presidente";"Randolfe Rodrigues. PDT/CIDADANIA/REDE/REDE - AP";"26/10/2021"
